Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;264,7
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;68,3
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día al mes;145,2
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;157,5
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Total;1.454,1
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;318,9
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;345,6
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;68,6
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;209,2
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;511,8
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Copas de vino, champagne o cava;Total;1.132,5
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;741,6
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;147,0
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;24,6
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día al mes;140,2
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;79,2
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Total;1.132,5
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;191,8
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;188,3
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;56,6
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;185,1
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;510,7
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Copas de vino, champagne o cava;Total;646,7
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Copas de vino, champagne o cava;Cuatro o más días a la semana;441,7
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;66,2
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;24,3
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día al mes;74,1
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;40,4
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Total;646,7
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;58,1
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;63,7
