bodega,vino,anio,calificacion,num_resenas,region,precio,tipo,cuerpo,acidez,id_vino
Teso La Monja,Tinto,2013,4.9,58,Toro,995.0,Toro Tinto,5.0,3.0,1
Artadi,Vina El Pison,2018,4.9,31,Rioja Alavesa,313.5,Tempranillo,4.0,2.0,2
Vega Sicilia,Unico,2009,4.8,1793,Ribera del Duero,324.95,Ribera del Duero Tinto,5.0,3.0,3
Vega Sicilia,Unico,1999,4.8,1705,Ribera del Duero,692.96,Ribera del Duero Tinto,5.0,3.0,4
Vega Sicilia,Unico,1996,4.8,1309,Ribera del Duero,778.06,Ribera del Duero Tinto,5.0,3.0,5
Vega Sicilia,Unico,1998,4.8,1209,Ribera del Duero,490.0,Ribera del Duero Tinto,5.0,3.0,6
Vega Sicilia,Unico,2010,4.8,1201,Ribera del Duero,349.0,Ribera del Duero Tinto,5.0,3.0,7
Vega Sicilia,Unico,1995,4.8,926,Ribera del Duero,810.89,Ribera del Duero Tinto,5.0,3.0,8
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Ribera del Duero,345.0,Ribera del Duero Tinto,5.0,3.0,9
Vega Sicilia,Unico,2011,4.8,630,Ribera del Duero,315.0,Ribera del Duero Tinto,5.0,3.0,10
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Ribera del Duero,514.85,Ribera del Duero Tinto,5.0,3.0,11
Pago de Carraovejas,El Anejon,2016,4.8,454,Ribera del Duero,105.15,Ribera del Duero Tinto,5.0,3.0,12
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Ribera del Duero,430.0,Ribera del Duero Tinto,5.0,3.0,13
Vega Sicilia,Unico,1970,4.8,417,Ribera del Duero,925.0,Ribera del Duero Tinto,5.0,3.0,14
Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0,15
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Ribera del Duero,166.18,Ribera del Duero Tinto,5.0,3.0,16
